project_name	publication_year	publication_doi	sample_name	sample_host	archive_project	archive_sample_accession	date_information_present	date_is_radiocarbon	archaeological_historical_date	multiple_dates	reference_location	reference_citation_depth	primary_secondary_reference_citation_doi	direct_dating_individual	direct_dating_element	radiocarbon_lab_code	radiocarbon_lab_sample_id	spectrometry_type	pretreatment_reported	pretreatment_type	sample_material	uncalibrated_date	uncalibrated_uncertainty_plus_minus	delta_13c	carbon_perc	delta_15n	carbon_nitrogen_ratio	calibration_reported	calibration_curve	calibration_software	calibration_software_version	calibration_software_settings	calibration_software_citation_doi	calibrated_range_lower	calibrated_range_upper	calibrated_range_median	calibrated_range_suffix	calibrated_range_confidence_interval	reservoir_offset_mentioned	reservoir_offset_applied	reservoir_offset_type	reservoir_offset_reported	reservoir_offset_reported_sd	reservoir_aquatic_carbon_perc	reservoir_aquatic_carbon_perc_sd
Eriksen2025	2025	10.1038/s42003-025-07616-9	105	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	105_S62	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	106	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	106_S63	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	107	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	107_S64	TRUE	FALSE	740-400	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	108	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	108_S65	TRUE	FALSE	70-0	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	109	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	109_S66	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	111	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	111_S68	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	112	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	112_S69	TRUE	FALSE	130-100	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	113	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	113_S70	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	114	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	114_S71	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
Eriksen2025	2025	10.1038/s42003-025-07616-9	115	Rangifer tarandus	10.17894/ucph.b159460b-6491-4951-b1f4-8282d627f229	115_S72	TRUE	FALSE	270-200	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	DNE	unknown	NA	NA	NA	NA	NA	NA	DNE	DNE	DNE	DNE	DNE	DNE	NA	NA	NA	DNE	NA	DNE	DNE	DNE	NA	NA	NA	NA
