Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession	TODO
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600912	ERR1883605	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1600913	ERR1883606	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1600868	ERR1883561	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1600869	ERR1883562	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1600871	ERR1883564	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3835	ERS1600872	ERR1883565	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3836	ERS1600873	ERR1883566	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3837	ERS1600874	ERR1883567	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3838	ERS1600875	ERR1883568	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3839	ERS1600876	ERR1883569	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3840	ERS1600879	ERR1883572	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3841	ERS1600880	ERR1883573	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3842	ERS1600881	ERR1883574	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3843	ERS1600822	ERR1883515	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3844	ERS1600823	ERR1883516	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600914	ERR1883607	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600915	ERR1883608	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600916	ERR1883609	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1600917	ERR1883610	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1600978	ERR1883671	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1600979	ERR1883672	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1600981	ERR1883674	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3835	ERS1600982	ERR1883675	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3836	ERS1600983	ERR1883676	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3837	ERS1600984	ERR1883677	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3838	ERS1600985	ERR1883678	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3839	ERS1600986	ERR1883679	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3840	ERS1600989	ERR1883682	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3841	ERS1600990	ERR1883683	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3842	ERS1600991	ERR1883684	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3843	ERS1600932	ERR1883625	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP3844	ERS1600933	ERR1883626	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1601002	ERR1883695	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP2920	ERS1600946	ERR1883639	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP2921	ERS1600952	ERR1883645	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP2922	ERS1600954	ERR1883647	Remove:CAPTUREDATA
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1600892	ERR1883585	Remove:CAPTUREDATA
