Table	project_name	data_publication_doi	sample_name	archive_sample_accession	archive_data_accession
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1600913	ERR1883606
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1600868	ERR1883561
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1600869	ERR1883562
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1600871	ERR1883564
Environment	Slon2017	10.1126/science.aam9695	SP3835	ERS1600872	ERR1883565
Environment	Slon2017	10.1126/science.aam9695	SP3836	ERS1600873	ERR1883566
Environment	Slon2017	10.1126/science.aam9695	SP3837	ERS1600874	ERR1883567
Environment	Slon2017	10.1126/science.aam9695	SP3838	ERS1600875	ERR1883568
Environment	Slon2017	10.1126/science.aam9695	SP3839	ERS1600876	ERR1883569
Environment	Slon2017	10.1126/science.aam9695	SP3840	ERS1600879	ERR1883572
Environment	Slon2017	10.1126/science.aam9695	SP3841	ERS1600880	ERR1883573
Environment	Slon2017	10.1126/science.aam9695	SP3842	ERS1600881	ERR1883574
Environment	Slon2017	10.1126/science.aam9695	SP3843	ERS1600822	ERR1883515
Environment	Slon2017	10.1126/science.aam9695	SP3844	ERS1600823	ERR1883516
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600914	ERR1883607
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600915	ERR1883608
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600916	ERR1883609
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1600917	ERR1883610
Environment	Slon2017	10.1126/science.aam9695	SP3832	ERS1600978	ERR1883671
Environment	Slon2017	10.1126/science.aam9695	SP3833	ERS1600979	ERR1883672
Environment	Slon2017	10.1126/science.aam9695	SP3834	ERS1600981	ERR1883674
Environment	Slon2017	10.1126/science.aam9695	SP3835	ERS1600982	ERR1883675
Environment	Slon2017	10.1126/science.aam9695	SP3836	ERS1600983	ERR1883676
Environment	Slon2017	10.1126/science.aam9695	SP3837	ERS1600984	ERR1883677
Environment	Slon2017	10.1126/science.aam9695	SP3838	ERS1600985	ERR1883678
Environment	Slon2017	10.1126/science.aam9695	SP3839	ERS1600986	ERR1883679
Environment	Slon2017	10.1126/science.aam9695	SP3840	ERS1600989	ERR1883682
Environment	Slon2017	10.1126/science.aam9695	SP3841	ERS1600990	ERR1883683
Environment	Slon2017	10.1126/science.aam9695	SP3842	ERS1600991	ERR1883684
Environment	Slon2017	10.1126/science.aam9695	SP3843	ERS1600932	ERR1883625
Environment	Slon2017	10.1126/science.aam9695	SP3844	ERS1600933	ERR1883626
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1601002	ERR1883695
Environment	Slon2017	10.1126/science.aam9695	SP2920	ERS1600946	ERR1883639
Environment	Slon2017	10.1126/science.aam9695	SP2921	ERS1600952	ERR1883645
Environment	Slon2017	10.1126/science.aam9695	SP2922	ERS1600954	ERR1883647
Environment	Slon2017	10.1126/science.aam9695	SP1736	ERS1600892	ERR1883585
Environment	Slon2017	10.1126/science.aam9695	SP2920	ERS1600836	ERR1883529
Environment	Slon2017	10.1126/science.aam9695	SP2921	ERS1600842	ERR1883535
Environment	Slon2017	10.1126/science.aam9695	SP2922	ERS1600844	ERR1883537
Environment	Slon2017	10.1126/science.aam9695	SP3871	ERS1600943	ERR1883636
Environment	Slon2017	10.1126/science.aam9695	SP3872	ERS1600945	ERR1883638
Environment	Slon2017	10.1126/science.aam9695	SP3873	ERS1600948	ERR1883641
Environment	Slon2017	10.1126/science.aam9695	SP3874	ERS1600950	ERR1883643
Environment	Slon2017	10.1126/science.aam9695	SP3875	ERS1600951	ERR1883644
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1600960	ERR1883653
Environment	Slon2017	10.1126/science.aam9695	SP3877	ERS1600980	ERR1883673
Environment	Slon2017	10.1126/science.aam9695	SP3878	ERS1600987	ERR1883680
Environment	Slon2017	10.1126/science.aam9695	SP3879	ERS1600988	ERR1883681
Environment	Slon2017	10.1126/science.aam9695	SP3880	ERS1600992	ERR1883685
Environment	Slon2017	10.1126/science.aam9695	SP3871	ERS1600833	ERR1883526
Environment	Slon2017	10.1126/science.aam9695	SP3872	ERS1600835	ERR1883528
Environment	Slon2017	10.1126/science.aam9695	SP3873	ERS1600838	ERR1883531
Environment	Slon2017	10.1126/science.aam9695	SP3874	ERS1600840	ERR1883533
Environment	Slon2017	10.1126/science.aam9695	SP3875	ERS1600841	ERR1883534
Environment	Slon2017	10.1126/science.aam9695	SP3876	ERS1600850	ERR1883543
Environment	Slon2017	10.1126/science.aam9695	SP3877	ERS1600870	ERR1883563
Environment	Slon2017	10.1126/science.aam9695	SP3878	ERS1600877	ERR1883570
Environment	Slon2017	10.1126/science.aam9695	SP3879	ERS1600878	ERR1883571
Environment	Slon2017	10.1126/science.aam9695	SP3880	ERS1600882	ERR1883575
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600993	ERR1883686
Environment	Slon2017	10.1126/science.aam9695	SP3675	ERS1600994	ERR1883687
Environment	Slon2017	10.1126/science.aam9695	SP3676	ERS1600995	ERR1883688
Environment	Slon2017	10.1126/science.aam9695	SP3677	ERS1600996	ERR1883689
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600934	ERR1883627
Environment	Slon2017	10.1126/science.aam9695	SP3846	ERS1600935	ERR1883628
Environment	Slon2017	10.1126/science.aam9695	SP3847	ERS1600936	ERR1883629
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1600937	ERR1883630
Environment	Slon2017	10.1126/science.aam9695	SP3849	ERS1600938	ERR1883631
Environment	Slon2017	10.1126/science.aam9695	SP3850	ERS1600939	ERR1883632
Environment	Slon2017	10.1126/science.aam9695	SP3851	ERS1600940	ERR1883633
Environment	Slon2017	10.1126/science.aam9695	SP3852	ERS1600964	ERR1883657
Environment	Slon2017	10.1126/science.aam9695	SP3853	ERS1600963	ERR1883656
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1600962	ERR1883655
Environment	Slon2017	10.1126/science.aam9695	SP3855	ERS1600961	ERR1883654
Environment	Slon2017	10.1126/science.aam9695	SP3856	ERS1600959	ERR1883652
Environment	Slon2017	10.1126/science.aam9695	SP3857	ERS1600957	ERR1883650
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600997	ERR1883690
Environment	Slon2017	10.1126/science.aam9695	SP3908	ERS1600999	ERR1883692
Environment	Slon2017	10.1126/science.aam9695	SP3909	ERS1600998	ERR1883691
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1601000	ERR1883693
Environment	Slon2017	10.1126/science.aam9695	SP3911	ERS1601001	ERR1883694
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1601003	ERR1883696
Environment	Slon2017	10.1126/science.aam9695	SP3674	ERS1600883	ERR1883576
Environment	Slon2017	10.1126/science.aam9695	SP3675	ERS1600884	ERR1883577
Environment	Slon2017	10.1126/science.aam9695	SP3676	ERS1600885	ERR1883578
Environment	Slon2017	10.1126/science.aam9695	SP3677	ERS1600886	ERR1883579
Environment	Slon2017	10.1126/science.aam9695	SP3845	ERS1600824	ERR1883517
Environment	Slon2017	10.1126/science.aam9695	SP3846	ERS1600825	ERR1883518
Environment	Slon2017	10.1126/science.aam9695	SP3847	ERS1600826	ERR1883519
Environment	Slon2017	10.1126/science.aam9695	SP3848	ERS1600827	ERR1883520
Environment	Slon2017	10.1126/science.aam9695	SP3849	ERS1600828	ERR1883521
Environment	Slon2017	10.1126/science.aam9695	SP3850	ERS1600829	ERR1883522
Environment	Slon2017	10.1126/science.aam9695	SP3851	ERS1600830	ERR1883523
Environment	Slon2017	10.1126/science.aam9695	SP3609	ERS1600893	ERR1883586
Environment	Slon2017	10.1126/science.aam9695	SP3852	ERS1600854	ERR1883547
Environment	Slon2017	10.1126/science.aam9695	SP3853	ERS1600853	ERR1883546
Environment	Slon2017	10.1126/science.aam9695	SP3854	ERS1600852	ERR1883545
Environment	Slon2017	10.1126/science.aam9695	SP3855	ERS1600851	ERR1883544
Environment	Slon2017	10.1126/science.aam9695	SP3856	ERS1600849	ERR1883542
Environment	Slon2017	10.1126/science.aam9695	SP3857	ERS1600847	ERR1883540
Environment	Slon2017	10.1126/science.aam9695	SP3907	ERS1600887	ERR1883580
Environment	Slon2017	10.1126/science.aam9695	SP3908	ERS1600889	ERR1883582
Environment	Slon2017	10.1126/science.aam9695	SP3909	ERS1600888	ERR1883581
Environment	Slon2017	10.1126/science.aam9695	SP3910	ERS1600890	ERR1883583
Environment	Slon2017	10.1126/science.aam9695	SP3911	ERS1600891	ERR1883584
Environment	Slon2017	10.1126/science.aam9695	SP3823	ERS1600969	ERR1883662
Environment	Slon2017	10.1126/science.aam9695	SP3824	ERS1600970	ERR1883663
Environment	Slon2017	10.1126/science.aam9695	SP3825	ERS1600971	ERR1883664
Environment	Slon2017	10.1126/science.aam9695	SP3826	ERS1600972	ERR1883665
Environment	Slon2017	10.1126/science.aam9695	SP3827	ERS1600973	ERR1883666
Environment	Slon2017	10.1126/science.aam9695	SP3828	ERS1600974	ERR1883667
Environment	Slon2017	10.1126/science.aam9695	SP3829	ERS1600975	ERR1883668
Environment	Slon2017	10.1126/science.aam9695	SP3830	ERS1600976	ERR1883669
